GeneID	logFC	logCPM	PValue	FDR
ENSMUSG00000026080	-7.094169976741311	9.356173591022623	9.74282582834301e-84	4.535826691195246e-82
ENSMUSG00000036815	-6.986155238433097	10.087380234473809	6.30783728600101e-82	2.8317683816083106e-80
ENSMUSG00000026458	-6.989816703644937	11.330504441549698	9.296762286124787e-81	4.0296655840202955e-79
ENSMUSG00000038026	-7.805815639355163	10.075140202034719	3.417629936982872e-80	1.4319869435958233e-78
ENSMUSG00000040723	5.198330305105096	10.559388227882723	3.682581473351271e-80	1.493227390968564e-78
ENSMUSG00000033569	-7.019874630682791	9.746023876647916	1.8919915762322573e-79	7.431979410387335e-78
ENSMUSG00000026163	-7.422785362923289	12.157691759036293	6.064822289599988e-77	2.310145944856723e-75
ENSMUSG00000036155	-5.277785371253235	10.471657314343037	1.336057252863492e-74	4.939482255439439e-73
ENSMUSG00000026424	-7.0591398889593915	11.529454421180173	3.2516184959219635e-72	1.1677955569639736e-70
ENSMUSG00000025931	-6.576881099082727	11.5235015828594	1.864179644354578e-71	6.509093924871401e-70
ENSMUSG00000026564	7.661804146668833	9.769125580437832	8.02365477630701e-71	2.725874068599436e-69
ENSMUSG00000026494	-5.722281745402485	10.433753014235709	6.023433177748207e-70	1.9924882906393413e-68
ENSMUSG00000026347	-7.1195981560668695	9.054111017241356	2.028164452653446e-68	6.536930043552261e-67
ENSMUSG00000045515	-6.687747790400705	9.339130996412436	4.8628560508812126e-68	1.528152513989421e-66
ENSMUSG00000045174	-8.40279298058155	8.59333261721427	6.013445712569835e-68	1.8436344538293373e-66
ENSMUSG00000049866	-5.958092575984699	10.340690827028018	1.3359113342848793e-66	3.998191779038317e-65
ENSMUSG00000013698	-3.889142688992698	12.062539660472542	1.9184535026730524e-66	5.608130355488435e-65
ENSMUSG00000053024	-7.655957626620409	11.876433976947425	3.1319688523197173e-66	8.947465562195192e-65
ENSMUSG00000047496	-6.355559230922415	9.874567970948247	1.7016031537650478e-65	4.753144809517034e-64
ENSMUSG00000025927	-7.709436947261568	9.049045304323128	2.1157742994872238e-65	5.781583248816174e-64
ENSMUSG00000058248	-7.050411892024214	9.477941698077593	2.6369277724780096e-65	7.052379170223103e-64
ENSMUSG00000032908	-7.2324268858235286	10.116591211439342	1.2081974984689314e-63	3.163967199115514e-62
ENSMUSG00000042686	4.207358355852772	12.377067780623033	6.743325628245115e-63	1.7298694519804306e-61
ENSMUSG00000033061	-7.475356478669759	9.062053424848118	1.2251091508450468e-62	3.0799244052244476e-61
ENSMUSG00000050777	6.827303826388803	10.367018423041245	2.8050670568073477e-62	6.913665275307522e-61
ENSMUSG00000005338	-5.401010017756056	13.034577882094561	1.0225186943971326e-61	2.471742305494607e-60
ENSMUSG00000042451	10.071162629772816	11.12937426761608	5.910312978718069e-60	1.4017478140091722e-58
ENSMUSG00000037509	-6.350235392645524	10.131443357048378	3.226545711960523e-59	7.510681407285885e-58
ENSMUSG00000026490	-3.1289870415624805	12.147721691930851	5.197111759544666e-59	1.1877762694086628e-57
ENSMUSG00000026574	8.39730138148736	9.168848855506802	1.3147126087214764e-57	2.9510602663623143e-56
ENSMUSG00000026452	-7.895593440399317	12.75184285052125	6.67356594396702e-56	1.471696910801148e-54
ENSMUSG00000026312	-6.7967326725719195	8.597794214001846	3.5269343217636646e-53	7.64371800423608e-52
ENSMUSG00000054976	-7.615141035433603	7.833915180449648	1.8374776480343967e-52	3.914761700981757e-51
ENSMUSG00000070695	-7.173380777506094	8.22966885204827	3.67978844286952e-52	7.709156787811644e-51
ENSMUSG00000038473	-5.319482438189287	8.73524879425566	4.85306287365752e-52	1.0000491856045087e-50
ENSMUSG00000040265	-4.8987762643868376	11.842901169699847	5.4149788400663934e-52	1.0978432906392672e-50
ENSMUSG00000026527	-6.062878514703937	8.740193393210054	1.6157579296375225e-51	3.223821773895819e-50
ENSMUSG00000051703	-7.284603469908239	7.994737282453506	2.0129090391326566e-50	3.953479159671483e-49
ENSMUSG00000042429	-4.839406224937482	11.210089362567752	3.3658872164647507e-50	6.509108047840295e-49
ENSMUSG00000016528	2.964198717130858	11.482031002486439	4.6930613223638556e-49	8.938148609411162e-48
ENSMUSG00000044835	-7.179614292260408	7.899324306879679	9.400816214455697e-49	1.7637053703837032e-47
ENSMUSG00000004031	-5.342469384002843	8.242179455925038	6.011630981872383e-48	1.1112676682667036e-46
ENSMUSG00000050840	-6.5115993890631065	7.883264085658333	6.274663891266935e-48	1.1430800741047155e-46
ENSMUSG00000016200	-6.259628915497917	8.089906439959202	1.8872374309789415e-47	3.388939215343613e-46
ENSMUSG00000026425	-2.8516942112032546	11.128782807569898	5.056672289297459e-47	8.952446574150572e-46
ENSMUSG00000026223	-3.9090310640039334	11.714078886729055	5.619889814997093e-47	9.811390968682424e-46
ENSMUSG00000016179	-6.068622629332236	7.90752761362593	1.2456008488842352e-46	2.14482228362669e-45
ENSMUSG00000050967	-7.749692168833448	8.439090683124629	2.506145604591046e-45	4.257060844555331e-44
ENSMUSG00000067028	-9.678346216207936	7.467394078166974	3.7997864488558815e-44	6.368442088282458e-43
ENSMUSG00000014602	-7.312906885528046	13.774509785811654	1.2212346058290484e-43	2.0198577625356763e-42
ENSMUSG00000051951	-9.573272786904434	7.366611320263283	2.3562659245361836e-43	3.846527619664913e-42
ENSMUSG00000041570	-3.2482073238316764	11.106536650929511	4.139250993502083e-43	6.670562177989896e-42
ENSMUSG00000006576	-3.9038085147664634	10.579425430441745	1.6185810246770254e-42	2.575387782302558e-41
ENSMUSG00000062209	-5.0500507444064935	8.668725416632943	1.0658587876683162e-41	1.6747306201238419e-40
ENSMUSG00000026667	-3.239464383459382	11.78121814836559	1.2706690203227194e-41	1.9718900722785904e-40
ENSMUSG00000100147	-5.816357392545037	7.6468454640718315	1.8823403759825395e-41	2.8854900641586003e-40
ENSMUSG00000015843	5.167176067059181	8.971696414690296	2.155569057629872e-41	3.2645184402900594e-40
ENSMUSG00000035131	-6.428529913735662	7.543945605714372	2.8810531071106275e-41	4.3112901852834034e-40
ENSMUSG00000039372	-4.328985537299532	8.157059065168395	1.4952328388928854e-40	2.2111855041039494e-39
ENSMUSG00000041757	-3.879364778247904	11.173644105797122	7.0215300780492845e-40	1.0262864311753431e-38
ENSMUSG00000036766	-7.410975039038933	12.031904659498894	2.887236038401354e-39	4.171558276172991e-38
ENSMUSG00000103653	6.650339741548677	7.100308367248328	4.820893191412099e-39	6.886207660914783e-38
ENSMUSG00000026782	-3.3683559028254426	10.380459434754316	5.261483781698165e-39	7.431106869207409e-38
ENSMUSG00000026344	-6.091622648396477	7.476508578575437	5.3256776587402845e-39	7.438196463373931e-38
ENSMUSG00000032997	-3.4915700206313667	9.81551632135364	2.11187889442618e-37	2.917177769553526e-36
ENSMUSG00000026018	-5.7773450059101235	7.641767399268134	4.175454555610233e-37	5.704941713480503e-36
ENSMUSG00000026571	2.62046235048958	11.766527332560326	6.93950539926711e-37	9.379525039654578e-36
ENSMUSG00000026556	-4.431161836660407	7.906270932038603	1.049359137660943e-36	1.4032387617444737e-35
